,latitude,longitude,brightness,acq_date,satellite,confidence,frp,fire_type
187,-22.9439,128.1919,322.0,2019-08-01,Aqua,65,9.8,0
188,-22.2645,124.9169,325.7,2019-08-01,Aqua,69,11.7,0
189,-22.2659,124.9067,328.3,2019-08-01,Aqua,74,15.0,0
190,-22.2673,124.8964,341.5,2019-08-01,Aqua,88,35.6,0
191,-22.2701,124.8758,334.3,2019-08-01,Aqua,82,24.1,0
192,-20.7789,119.4428,328.9,2019-08-01,Aqua,75,45.8,0
193,-20.7918,119.4444,337.7,2019-08-01,Aqua,85,81.1,0
194,-20.7941,119.4234,332.6,2019-08-01,Aqua,80,57.3,0
195,-20.7811,119.4219,326.9,2019-08-01,Aqua,72,37.6,0
196,-15.1927,130.34,325.6,2019-08-01,Aqua,70,26.4,0
197,-16.9071,122.7686,324.0,2019-08-01,Aqua,51,8.5,0
198,-15.4903,130.6806,328.7,2019-08-01,Aqua,17,28.2,0
199,-15.5022,130.6125,333.7,2019-08-01,Aqua,74,42.5,0
200,-15.5052,130.5955,337.4,2019-08-01,Aqua,85,56.7,0
201,-15.5081,130.5788,328.8,2019-08-01,Aqua,55,28.9,0
202,-15.511,130.562,328.1,2019-08-01,Aqua,62,28.5,0
203,-15.5139,130.5452,328.2,2019-08-01,Aqua,63,28.7,0
204,-15.5012,130.6593,331.0,2019-08-01,Aqua,65,36.9,0
205,-15.5041,130.6423,328.6,2019-08-01,Aqua,59,29.2,0
206,-15.5069,130.6255,327.4,2019-08-01,Aqua,45,24.6,0
207,-15.5097,130.6084,334.3,2019-08-01,Aqua,77,46.1,0
208,-15.5126,130.5914,331.0,2019-08-01,Aqua,65,35.5,0
209,-15.4905,130.4331,327.0,2019-08-01,Aqua,55,23.0,0
210,-15.4755,130.3795,337.2,2019-08-01,Aqua,74,56.8,0
211,-16.1733,126.0054,327.3,2019-08-01,Aqua,39,11.5,0
212,-16.1747,125.996,352.8,2019-08-01,Aqua,95,55.7,0
213,-15.4381,130.5266,346.6,2019-08-01,Aqua,92,91.1,0
214,-15.441,130.5098,345.3,2019-08-01,Aqua,91,84.8,0
215,-16.1643,126.004,331.0,2019-08-01,Aqua,67,15.8,0
216,-15.4292,130.5077,332.8,2019-08-01,Aqua,79,36.5,0
217,-15.4435,130.5206,331.5,2019-08-01,Aqua,65,32.8,0
218,-15.4317,130.5184,357.6,2019-08-01,Aqua,98,152.4,0
219,-15.4345,130.5017,328.6,2019-08-01,Aqua,53,23.8,0
220,-15.3797,130.7558,331.9,2019-08-01,Aqua,57,37.8,0
221,-15.4227,130.4995,345.3,2019-08-01,Aqua,91,83.2,0
222,-15.4109,130.4973,353.2,2019-08-01,Aqua,96,123.9,0
223,-15.4137,130.4806,345.1,2019-08-01,Aqua,91,83.0,0
224,-15.3556,130.7514,327.1,2019-08-01,Aqua,53,24.3,0
225,-15.4019,130.4785,328.7,2019-08-01,Aqua,74,28.3,0
226,-15.4047,130.4618,325.2,2019-08-01,Aqua,53,20.9,0
227,-15.393,130.4597,328.9,2019-08-01,Aqua,61,30.9,0
228,-16.09,126.005,327.9,2019-08-01,Aqua,65,12.4,0
229,-16.0914,125.9955,337.3,2019-08-01,Aqua,83,25.2,0
230,-15.2073,131.3123,322.7,2019-08-01,Aqua,64,23.4,0
231,-16.0831,125.9264,323.7,2019-08-01,Aqua,47,7.1,0
232,-16.0845,125.9169,341.2,2019-08-01,Aqua,87,31.5,0
233,-16.0859,125.9075,333.1,2019-08-01,Aqua,79,19.2,0
234,-16.0873,125.8981,324.0,2019-08-01,Aqua,59,8.6,0
235,-15.2051,131.252,323.1,2019-08-01,Aqua,66,23.3,0
236,-16.0754,125.9155,331.3,2019-08-01,Aqua,75,16.3,0
237,-16.0768,125.9061,355.1,2019-08-01,Aqua,97,61.3,0
238,-16.0782,125.8966,369.2,2019-08-01,Aqua,100,103.1,0
239,-16.0796,125.8872,330.9,2019-08-01,Aqua,76,17.7,0
240,-15.2049,131.3268,321.1,2019-08-01,Aqua,61,19.1,0
241,-15.2055,131.2469,324.4,2019-08-01,Aqua,70,29.7,0
242,-15.1654,131.18,322.4,2019-08-01,Aqua,21,19.0,0
243,-15.1529,131.1778,339.6,2019-08-01,Aqua,87,83.9,0
244,-15.0203,131.7745,323.6,2019-08-01,Aqua,49,31.2,0
245,-15.024,131.7537,323.1,2019-08-01,Aqua,45,29.6,0
246,-15.1513,131.1702,326.5,2019-08-01,Aqua,33,31.4,0
247,-15.0231,131.7676,328.3,2019-08-01,Aqua,74,48.5,0
248,-15.0063,131.7863,321.8,2019-08-01,Aqua,38,22.6,0
249,-15.01,131.7649,320.8,2019-08-01,Aqua,30,19.9,0
250,-15.1019,131.0828,324.0,2019-08-01,Aqua,55,25.6,0
251,-15.1052,131.0639,320.5,2019-08-01,Aqua,50,15.7,0
252,-15.0928,131.0617,327.1,2019-08-01,Aqua,74,35.3,0
253,-15.2354,130.231,328.4,2019-08-01,Aqua,55,29.4,0
254,-14.9462,131.8191,328.3,2019-08-01,Aqua,51,44.7,0
255,-14.933,131.8167,325.4,2019-08-01,Aqua,35,34.8,0
256,-15.1955,130.3236,324.5,2019-08-01,Aqua,68,23.1,0
257,-15.1987,130.3355,327.5,2019-08-01,Aqua,55,28.1,0
258,-14.938,131.8124,331.4,2019-08-01,Aqua,73,59.8,0
259,-15.1352,130.4265,323.1,2019-08-01,Aqua,47,17.9,0
260,-15.138,130.4098,328.8,2019-08-01,Aqua,76,33.0,0
261,-14.3146,134.9123,320.9,2019-08-01,Aqua,68,90.5,0
262,-15.0855,130.5753,336.4,2019-08-01,Aqua,84,56.7,0
263,-15.1813,129.9411,334.9,2019-08-01,Aqua,58,45.1,0
264,-15.1839,129.9258,339.1,2019-08-01,Aqua,83,60.6,0
265,-15.1621,129.9849,337.6,2019-08-01,Aqua,85,53.9,0
266,-14.3102,134.9034,321.6,2019-08-01,Aqua,69,91.9,0
267,-15.0649,130.5837,324.0,2019-08-01,Aqua,63,20.5,0
268,-15.1615,129.9945,329.4,2019-08-01,Aqua,76,27.9,0
269,-15.1642,129.9779,328.9,2019-08-01,Aqua,67,25.3,0
270,-14.7478,130.6871,328.6,2019-08-01,Aqua,73,37.0,0
271,-14.6903,130.6577,338.1,2019-08-01,Aqua,86,69.7,0
272,-14.6781,130.5841,331.5,2019-08-01,Aqua,75,38.0,0
273,-14.6675,130.6108,340.9,2019-08-01,Aqua,84,72.5,0
274,-14.6704,130.5937,328.4,2019-08-01,Aqua,39,27.8,0
275,-14.6525,130.6261,349.8,2019-08-01,Aqua,94,123.2,0
276,-14.6554,130.6088,340.7,2019-08-01,Aqua,81,72.7,0
277,-14.6583,130.5915,331.1,2019-08-01,Aqua,30,35.7,0
278,-14.6462,130.5895,374.0,2019-08-01,Aqua,100,298.1,0
279,-14.6492,130.5721,327.4,2019-08-01,Aqua,34,27.5,0
280,-14.3185,130.6756,325.9,2019-08-01,Aqua,74,32.5,0
281,-14.3149,130.6678,320.9,2019-08-01,Aqua,60,18.0,0
282,-14.2568,130.7132,325.2,2019-08-01,Aqua,54,30.7,0
283,-14.2476,130.6929,321.2,2019-08-01,Aqua,61,21.0,0
284,-14.3457,129.8308,321.8,2019-08-01,Aqua,57,18.7,0
285,-14.2,130.6596,324.2,2019-08-01,Aqua,42,28.8,0
286,-14.0453,131.4964,324.2,2019-08-01,Aqua,66,33.6,0
287,-14.0286,131.5149,321.4,2019-08-01,Aqua,49,23.1,0
288,-14.7357,126.7584,354.0,2019-08-01,Aqua,96,61.3,0
289,-14.7264,126.7568,341.0,2019-08-01,Aqua,83,31.0,0
290,-13.9821,131.244,347.7,2019-08-01,Aqua,93,152.2,0
291,-13.9856,131.224,338.9,2019-08-01,Aqua,88,101.5,0
292,-14.7061,126.7638,345.2,2019-08-01,Aqua,91,36.4,0
293,-14.7076,126.7537,366.3,2019-08-01,Aqua,100,95.5,0
294,-14.6983,126.7522,345.7,2019-08-01,Aqua,91,38.4,0
295,-14.6998,126.7421,338.4,2019-08-01,Aqua,85,24.8,0
296,-14.7013,126.732,345.2,2019-08-01,Aqua,91,40.9,0
297,-14.163,130.0316,341.8,2019-08-01,Aqua,89,86.1,0
298,-14.6749,126.7795,332.8,2019-08-01,Aqua,50,17.9,0
299,-14.6732,126.7275,347.9,2019-08-01,Aqua,93,47.8,0
300,-14.6748,126.7174,328.9,2019-08-01,Aqua,54,13.3,0
301,-14.6213,126.9118,326.6,2019-08-01,Aqua,56,10.4,0
302,-14.0959,130.0311,318.7,2019-08-01,Aqua,40,16.4,0
303,-13.9893,130.5932,328.1,2019-08-01,Aqua,77,36.9,0
304,-13.977,130.591,328.5,2019-08-01,Aqua,78,37.9,0
305,-13.9801,130.573,331.5,2019-08-01,Aqua,81,48.0,0
306,-14.0032,129.9573,326.1,2019-08-01,Aqua,74,33.5,0
307,-12.954,135.0368,313.6,2019-08-01,Aqua,39,55.3,0
308,-13.3642,131.9983,320.0,2019-08-01,Aqua,56,23.2,0
309,-13.3071,131.9554,322.3,2019-08-01,Aqua,69,30.5,0
310,-13.0241,132.9584,331.9,2019-08-01,Aqua,82,116.4,0
311,-13.029,132.9311,325.1,2019-08-01,Aqua,74,70.9,0
312,-11.4124,130.8343,322.7,2019-08-01,Aqua,73,51.2,0
313,-11.4017,130.3339,312.7,2019-08-01,Aqua,41,12.0,0
314,-11.4338,130.4654,328.1,2019-08-01,Aqua,73,50.1,0
315,-11.4306,130.4848,337.8,2019-08-01,Aqua,88,93.5,0
316,-11.4273,130.5045,318.2,2019-08-01,Aqua,25,20.1,0
317,-11.4844,130.2392,317.1,2019-08-01,Aqua,58,20.2,0
318,-11.4465,130.4676,327.0,2019-08-01,Aqua,64,46.7,0
319,-11.4433,130.487,344.2,2019-08-01,Aqua,92,127.9,0
320,-11.4401,130.5067,321.9,2019-08-01,Aqua,68,31.3,0
321,-11.4028,130.8109,365.4,2019-08-01,Aqua,100,318.8,0
322,-11.3993,130.832,367.4,2019-08-01,Aqua,100,344.2,0
323,-11.5063,130.262,327.7,2019-08-01,Aqua,0,48.8,0
324,-11.4158,130.8133,325.1,2019-08-01,Aqua,73,55.9,0
325,-12.7927,133.8679,318.4,2019-08-01,Aqua,42,66.8,0
